"name","price","restaurant_id"
"Pasta Carbonara","15","1"
"Tiramisu - The 'pick-me-up' ca","10","1"
"Panzenella","17","1"
"Margherita Pizza","13","1"
"Spring Rolls","20","1"
"Date Pancakes","14","1"
"Stir Fried Tofu with Rice","15","1"
"Shitake Fried Rice with Water ","18","1"
"Brittle","18","1"
"Hamburger","13","1"
"Tacos","20","1"
"Bagel and Lox","9","1"
"Clam Chowder","9","1"
"Guillermo","19","1"
"Vacuum coffee","16","1"
"Espresso","13","1"
"Cafe Zorro","20","1"
"Moka","20","1"
"Caprese Salad with Pesto Sauce","18","2"
"Focaccia Bread","12","2"
"Margherita Pizza","15","2"
"Tiramisu - The 'pick-me-up' ca","17","2"
"Hominy Grits","15","2"
"Drop Biscuits and Sausage Grav","11","2"
"Tacos","15","2"
"Brittle","10","2"
"Tarte tatin","9","2"
"Confit de canard","20","2"
"Nicoise salad","11","2"
"Coq au vin","14","2"
"Beef bourguignon","18","2"
"Teriyaki burger","9","3"
"California burger","18","3"
"Cheeseburger","14","3"
"Butter burger","13","3"
"Buffalo burger","13","3"
"Pasta Carbonara","9","3"
"Bruschetta","15","3"
"Panzenella","10","3"
"Panna Cotta With Raspberry Cou","13","3"
"Caprese Salad with Pesto Sauce","9","3"
"Guillermo","13","3"
"Vacuum coffee","14","3"
"Café Cubano","19","3"
"Espresso Romano","10","3"
"Cafe Zorro","11","3"
"Black olives","10","3"
"Pepperoni","15","3"
"Extra cheese","11","3"
"Pineapple","14","3"
"Coq au vin","11","20"
"Cassoulet","20","20"
"Flamiche","19","20"
"Chocolate souffle","12","20"
"Veggie burger","10","20"
"Salmon burger","15","20"
"California burger","10","20"
"Barbecue burger","12","20"
"Pasta Con Pomodoro E Basilico","14","20"
"Margherita Pizza","10","20"
"Pasta Carbonara","16","20"
"Panzenella","9","20"
"Tiramisu - The 'pick-me-up' ca","12","20"
"Spring Rolls","11","20"
"Dim Sums","17","20"
"Date Pancakes","17","20"
"Szechwan Chilli Chicken","19","20"
"Chicken with Chestnuts","12","20"
"Hamburger","9","4"
"Clam Chowder","13","4"
"Texas Barbecue","20","4"
"Deep-Dish Pizza","19","4"
"Panna Cotta With Raspberry Cou","9","4"
"Tiramisu - The 'pick-me-up' ca","16","4"
"Margherita Pizza","14","4"
"Focaccia Bread","9","4"
"Ratatouille","14","4"
"Cassoulet","10","4"
"Confit de canard","13","4"
"Nicoise salad","11","4"
"Soupe à l'oignon","18","4"
"Dim Sums","18","4"
"Stir Fried Tofu with Rice","15","4"
"Shitake Fried Rice with Water ","9","4"
"Spring Rolls","10","4"
"Szechwan Chilli Chicken","12","4"
"Drop Biscuits and Sausage Grav","17","5"
"Deep-Dish Pizza","14","5"
"Texas Barbecue","19","5"
"Clam Chowder","9","5"
"Bagel and Lox","11","5"
"Ristretto","15","5"
"Guillermo","19","5"
"Café Cubano","20","5"
"Caffè Americano","18","5"
"Espresso","13","5"
"Shitake Fried Rice with Water ","17","5"
"Spring Rolls","10","5"
"Stir Fried Tofu with Rice","10","5"
"Hot and Sour Soup","10","5"
"Quick Noodles","12","5"
"Veggie burger","11","6"
"Cheeseburger","19","6"
"Barbecue burger","11","6"
"Teriyaki burger","12","6"
"Brittle","11","6"
"Apple Pie","20","6"
"Bagel and Lox","17","6"
"Hominy Grits","14","6"
"Spring Rolls","13","6"
"Dim Sums","10","6"
"Date Pancakes","11","6"
"Stir Fried Tofu with Rice","12","6"
"Szechwan Chilli Chicken","19","6"
"Bagel and Lox","19","7"
"Hamburger","14","7"
"Brittle","10","7"
"Texas Barbecue","16","7"
"Deep-Dish Pizza","14","7"
"Pineapple","14","7"
"Onions","12","7"
"Sausage","13","7"
"Spinach","13","7"
"Steak burger","15","7"
"Salmon burger","16","7"
"Veggie burger","19","7"
"Hawaii burger","15","7"
"Wok Tossed Veggies in Honey an","15","7"
"Chicken with Chestnuts","14","7"
"Date Pancakes","10","7"
"Stir Fried Tofu with Rice","14","7"
"Apple Pie","14","8"
"Bagel and Lox","16","8"
"Deep-Dish Pizza","17","8"
"Drop Biscuits and Sausage Grav","19","8"
"Pasta Carbonara","15","8"
"Panzenella","20","8"
"Panna Cotta With Raspberry Cou","18","8"
"Margherita Pizza","9","8"
"Café Cubano","10","8"
"Espresso","12","8"
"Cafe Zorro","10","8"
"Espresso Romano","12","8"
"Vacuum coffee","20","8"
"Ratatouille","19","8"
"Beef bourguignon","9","8"
"Tarte tatin","12","8"
"Coq au vin","9","8"
"Nicoise salad","12","8"
"Espresso Romano","18","9"
"Caffè Americano","13","9"
"Caffè crema","20","9"
"Cafe Zorro","14","9"
"Guillermo","11","9"
"Cassoulet","19","9"
"Beef bourguignon","13","9"
"Confit de canard","9","9"
"Chocolate souffle","12","9"
"Tarte tatin","14","9"
"Wok Tossed Veggies in Honey an","10","9"
"Dim Sums","17","9"
"Szechwan Chilli Chicken","16","9"
"Spring Rolls","9","9"
"Date Pancakes","19","9"
"Quick Noodles","15","10"
"Stir Fried Tofu with Rice","18","10"
"Chicken with Chestnuts","11","10"
"Wok Tossed Veggies in Honey an","20","10"
"Date Pancakes","9","10"
"Tacos","17","10"
"Brittle","12","10"
"Apple Pie","10","10"
"Texas Barbecue","17","10"
"Steak burger","17","10"
"Teriyaki burger","13","10"
"Salmon burger","17","10"
"Hawaii burger","15","10"
"Barbecue burger","17","10"
"Date Pancakes","20","11"
"Szechwan Chilli Chicken","16","11"
"Chicken with Chestnuts","11","11"
"Spring Rolls","19","11"
"Caprese Salad with Pesto Sauce","18","11"
"Mushroom Risotto","15","11"
"Bruschetta","19","11"
"Focaccia Bread","19","11"
"Tiramisu - The 'pick-me-up' ca","18","11"
"Vacuum coffee","17","11"
"Espresso","10","11"
"Caffè Americano","12","11"
"Cafe Zorro","12","11"
"Pineapple","18","12"
"Spinach","18","12"
"Mushrooms","13","12"
"Extra cheese","17","12"
"Clam Chowder","18","12"
"Texas Barbecue","14","12"
"Tacos","15","12"
"Drop Biscuits and Sausage Grav","12","12"
"Apple Pie","19","12"
"Guillermo","14","12"
"Ristretto","20","12"
"Vacuum coffee","19","12"
"Espresso Romano","19","12"
"Caffè crema","18","12"
"Stir Fried Tofu with Rice","13","12"
"Hot and Sour Soup","9","12"
"Chicken with Chestnuts","18","12"
"Szechwan Chilli Chicken","13","12"
"California burger","14","13"
"Buffalo burger","12","13"
"Teriyaki burger","14","13"
"Veggie burger","9","13"
"Butter burger","14","13"
"Ratatouille","16","13"
"Cassoulet","14","13"
"Flamiche","13","13"
"Nicoise salad","11","13"
"Soupe à l'oignon","17","13"
"Moka","17","13"
"Ristretto","19","13"
"Cafe Zorro","13","13"
"Caffè crema","10","13"
"Espresso","19","13"
"Focaccia Bread","13","13"
"Tiramisu - The 'pick-me-up' ca","19","13"
"Panna Cotta With Raspberry Cou","15","13"
"Pasta Carbonara","11","13"
"Mushrooms","14","14"
"Bacon","19","14"
"Black olives","15","14"
"Extra cheese","16","14"
"Sausage","16","14"
"Quick Noodles","10","14"
"Date Pancakes","11","14"
"Chicken with Chestnuts","9","14"
"Spring Rolls","10","14"
"Confit de canard","20","14"
"Cassoulet","13","14"
"Tarte tatin","19","14"
"Nicoise salad","14","14"
"Focaccia Bread","12","14"
"Panna Cotta With Raspberry Cou","17","14"
"Panzenella","14","14"
"Pasta Con Pomodoro E Basilico","13","14"
"Salmon burger","16","15"
"California burger","18","15"
"Barbecue burger","10","15"
"Buffalo burger","10","15"
"Teriyaki burger","16","15"
"Focaccia Bread","16","15"
"Bruschetta","12","15"
"Panna Cotta With Raspberry Cou","20","15"
"Mushroom Risotto","15","15"
"Dim Sums","14","15"
"Quick Noodles","11","15"
"Stir Fried Tofu with Rice","18","15"
"Szechwan Chilli Chicken","14","15"
"Vacuum coffee","20","15"
"Moka","9","15"
"Caffè Americano","12","15"
"Café Cubano","16","15"
"Vacuum coffee","13","16"
"Guillermo","11","16"
"Cafe Zorro","16","16"
"Espresso Romano","17","16"
"Moka","9","16"
"Nicoise salad","19","16"
"Coq au vin","13","16"
"Soupe à l'oignon","13","16"
"Tarte tatin","19","16"
"Drop Biscuits and Sausage Grav","17","16"
"Hominy Grits","15","16"
"Bagel and Lox","15","16"
"Brittle","14","16"
"Clam Chowder","15","16"
"Coq au vin","9","17"
"Confit de canard","16","17"
"Tarte tatin","14","17"
"Flamiche","15","17"
"Hot and Sour Soup","19","17"
"Quick Noodles","17","17"
"Shitake Fried Rice with Water ","10","17"
"Wok Tossed Veggies in Honey an","9","17"
"Chicken with Chestnuts","18","17"
"Extra cheese","18","17"
"Mushrooms","19","17"
"Pineapple","14","17"
"Onions","12","17"
"Spinach","18","17"
"Margherita Pizza","9","18"
"Focaccia Bread","18","18"
"Pasta Carbonara","10","18"
"Bruschetta","13","18"
"Panzenella","15","18"
"Ristretto","20","18"
"Café Cubano","11","18"
"Vacuum coffee","19","18"
"Caffè crema","13","18"
"Butter burger","20","18"
"Hawaii burger","15","18"
"Teriyaki burger","11","18"
"Veggie burger","10","18"
"Hominy Grits","9","19"
"Drop Biscuits and Sausage Grav","11","19"
"Bagel and Lox","13","19"
"Deep-Dish Pizza","18","19"
"Hamburger","9","19"
"Cheeseburger","16","19"
"Hawaii burger","20","19"
"Buffalo burger","9","19"
"Veggie burger","14","19"
"Quick Noodles","9","19"
"Stir Fried Tofu with Rice","10","19"
"Hot and Sour Soup","10","19"
"Shitake Fried Rice with Water ","18","19"
"Chicken with Chestnuts","10","19"
"Bruschetta","15","19"
"Pasta Carbonara","20","19"
"Caprese Salad with Pesto Sauce","17","19"
"Tiramisu - The 'pick-me-up' ca","16","19"
